MENDES PIMENTEL;-;5;5
MERCES;1;21;22
MESQUITA;-;4;4
MINAS NOVAS;-;15;15
MINDURI;-;15;15
MIRABELA;-;9;9
MIRADOURO;1;5;6
MIRAI;-;25;25
MIRAVANIA;-;1;1
MOEDA;-;38;38
MOEMA;-;9;9
MONJOLOS;2;4;6
MONTE ALEGRE DE MINAS;-;35;35
MONTE AZUL;-;34;34
MONTE BELO;-;37;37
MONTE CARMELO;4;169;173
MONTE SANTO DE MINAS;4;92;96
MONTES CLAROS;11;483;494
MONTE SIAO;3;121;124
MONTEZUMA;-;1;1
MORADA NOVA DE MINAS;-;45;45
MORRO DO PILAR;-;1;1
MUNHOZ;4;22;26
MURIAE;3;88;91
MUTUM;1;4;5
MUZAMBINHO;-;29;29
NACIP RAYDAN;-;11;11
NANUQUE;1;32;33
NAQUE;-;29;29
NATERCIA;-;13;13
NAZARENO;1;23;24
NEPOMUCENO;1;69;70
NINHEIRA;-;1;1
NOVA BELEM;-;5;5
NOVA ERA;1;7;8
NOVA LIMA;3;212;215
NOVA MODICA;-;3;3
NOVA PORTEIRINHA;-;3;3
NOVA RESENDE;2;35;37
NOVA SERRANA;1;181;182
NOVO CRUZEIRO;-;12;12
NOVORIZONTE;-;8;8
OLARIA;-;6;6
OLIMPIO NORONHA;-;4;4
OLIVEIRA;2;84;86
OLIVEIRA FORTES;-;6;6
ONCA DE PITANGUI;-;12;12
ORATORIOS;-;3;3
ORIZANIA;-;3;3
OURO BRANCO;1;58;59
OURO FINO;3;86;89
OURO PRETO;4;273;277
OURO VERDE DE MINAS;-;1;1
PADRE PARAISO;-;4;4
PAINEIRAS;-;8;8
PAINS;1;16;17
PAI PEDRO;-;4;4
PAIVA;-;6;6
PALMA;-;9;9
PALMOPOLIS;-;8;8
PAPAGAIOS;-;14;14
PARACATU;-;64;64
PARA DE MINAS;15;476;491
PARAISOPOLIS;-;93;93
PARAOPEBA;-;10;10
PASSA-VINTE;-;4;4
PASSOS;3;228;231
PATOS DE MINAS;15;289;304
PATROCINIO;3;90;93
PAULA CANDIDO;-;44;44
PECANHA;1;2;3
PEDRA AZUL;-;2;2
PEDRA DO ANTA;-;4;4
PEDRA DOURADA;-;1;1
PEDRALVA;-;62;62
PEDRAS DE MARIA DA CRUZ;-;1;1
PEDRINOPOLIS;-;3;3
PEDRO LEOPOLDO;2;25;27
PEQUI;-;11;11
PERDIGAO;-;17;17
PERDIZES;1;54;55
PERDOES;1;30;31
PERIQUITO;-;30;30
PESCADOR;1;5;6
PIAU;-;8;8
PIEDADE DE CARATINGA;-;34;34
PIEDADE DE PONTE NOVA;-;11;11
PIEDADE DO RIO GRANDE;-;3;3
PIEDADE DOS GERAIS;-;9;9
PIMENTA;2;20;22
PINGO-D'AGUA;-;4;4
PIRACEMA;-;7;7
PIRANGA;-;23;23
PIRANGUCU;-;43;43
PIRANGUINHO;1;85;86
PIRAPETINGA;-;21;21
PIRAPORA;1;14;15
PIRAUBA;-;17;17
PITANGUI;6;115;121
