MENDES PIMENTEL;-;5;5
MERCES;2;20;22
MESQUITA;-;4;4
MINAS NOVAS;-;15;15
MINDURI;-;15;15
MIRABELA;-;9;9
MIRADOURO;2;4;6
MIRAI;-;25;25
MIRAVANIA;-;1;1
MOEDA;1;37;38
MOEMA;-;9;9
MONJOLOS;1;5;6
MONTE ALEGRE DE MINAS;1;34;35
MONTE AZUL;-;34;34
MONTE BELO;-;37;37
MONTE CARMELO;16;157;173
MONTE SANTO DE MINAS;7;89;96
MONTES CLAROS;19;475;494
MONTE SIAO;11;113;124
MONTEZUMA;-;1;1
MORADA NOVA DE MINAS;1;44;45
MORRO DO PILAR;-;1;1
MUNHOZ;3;23;26
MURIAE;2;89;91
MUTUM;2;3;5
MUZAMBINHO;4;25;29
NACIP RAYDAN;-;11;11
NANUQUE;6;27;33
NAQUE;1;28;29
NATERCIA;-;13;13
NAZARENO;-;24;24
NEPOMUCENO;6;64;70
NINHEIRA;-;1;1
NOVA BELEM;-;5;5
NOVA ERA;-;8;8
NOVA LIMA;12;203;215
NOVA MODICA;-;3;3
NOVA PORTEIRINHA;1;2;3
NOVA RESENDE;4;33;37
NOVA SERRANA;15;167;182
NOVO CRUZEIRO;2;10;12
NOVORIZONTE;-;8;8
OLARIA;-;6;6
OLIMPIO NORONHA;-;4;4
OLIVEIRA;1;85;86
OLIVEIRA FORTES;-;6;6
ONCA DE PITANGUI;2;10;12
ORATORIOS;-;3;3
ORIZANIA;-;3;3
OURO BRANCO;-;59;59
OURO FINO;9;80;89
OURO PRETO;3;274;277
OURO VERDE DE MINAS;-;1;1
PADRE PARAISO;-;4;4
PAINEIRAS;-;8;8
PAINS;3;14;17
PAI PEDRO;1;3;4
PAIVA;-;6;6
PALMA;-;9;9
PALMOPOLIS;-;8;8
PAPAGAIOS;2;12;14
PARACATU;4;60;64
PARA DE MINAS;38;453;491
PARAISOPOLIS;6;87;93
PARAOPEBA;1;9;10
PASSA-VINTE;-;4;4
PASSOS;13;218;231
PATOS DE MINAS;21;283;304
PATROCINIO;11;82;93
PAULA CANDIDO;1;43;44
PECANHA;1;2;3
PEDRA AZUL;-;2;2
PEDRA DO ANTA;-;4;4
PEDRA DOURADA;-;1;1
PEDRALVA;2;60;62
PEDRAS DE MARIA DA CRUZ;-;1;1
PEDRINOPOLIS;1;2;3
PEDRO LEOPOLDO;2;25;27
PEQUI;1;10;11
