Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sobrepeso
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"313270 ITAMBACURI";4;16;20
"313280 ITAMBE DO MATO DENTRO";1;-;1
"313290 ITAMOGI";12;45;57
"313300 ITAMONTE";4;14;18
"313310 ITANHANDU";55;39;94
"313320 ITANHOMI";9;23;32
"313330 ITAOBIM";7;13;20
"313340 ITAPAGIPE";24;36;60
"313350 ITAPECERICA";8;9;17
"313360 ITAPEVA";9;18;27
"313370 ITATIAIUCU";6;20;26
"313375 ITAU DE MINAS";73;70;143
"313380 ITAUNA";54;111;165
"313410 ITUETA";4;2;6
"313420 ITUIUTABA";73;137;210
"313430 ITUMIRIM";2;-;2
"313440 ITURAMA";31;82;113
"313450 ITUTINGA";7;11;18
"313460 JABOTICATUBAS";7;19;26
"313470 JACINTO";-;6;6
"313480 JACUI";53;76;129
"313490 JACUTINGA";29;62;91
"313500 JAGUARACU";1;4;5
"313505 JAIBA";3;5;8
"313507 JAMPRUCA";2;4;6
"313510 JANAUBA";7;25;32
"313520 JANUARIA";25;87;112
"313530 JAPARAIBA";-;5;5
"313535 JAPONVAR";-;1;1
"313545 JENIPAPO DE MINAS";5;4;9
"313550 JEQUERI";4;28;32
"313560 JEQUITAI";-;4;4
"313580 JEQUITINHONHA";1;1;2
"313590 JESUANIA";-;1;1
"313600 JOAIMA";5;16;21
"313610 JOANESIA";1;9;10
"313620 JOAO MONLEVADE";37;50;87
"313630 JOAO PINHEIRO";19;36;55
"313650 JORDANIA";-;1;1
"313652 JOSE GONCALVES DE MINAS";1;5;6
"313655 JOSE RAYDAN";1;10;11
"313660 NOVA UNIAO";9;11;20
"313665 JUATUBA";3;18;21
"313670 JUIZ DE FORA";315;406;721
"313690 JURUAIA";7;10;17
"313695 JUVENILIA";-;2;2
"313710 LAGAMAR";10;25;35
"313720 LAGOA DA PRATA";23;38;61
"313740 LAGOA DOURADA";-;1;1
"313750 LAGOA FORMOSA";16;26;42
"313753 LAGOA GRANDE";1;4;5
"313760 LAGOA SANTA";12;9;21
"313780 LAMBARI";58;70;128
"313800 LARANJAL";1;6;7
"313810 LASSANCE";2;2;4
"313820 LAVRAS";22;54;76
"313830 LEANDRO FERREIRA";8;5;13
"313840 LEOPOLDINA";18;18;36
"313860 LIMA DUARTE";16;15;31
"313862 LIMEIRA DO OESTE";1;4;5
"313865 LONTRA";-;1;1
"313867 LUISBURGO";5;10;15
"313880 LUZ";10;31;41
"313900 MACHADO";72;119;191
"313910 MADRE DE DEUS DE MINAS";2;13;15
"313930 MANGA";3;10;13
"313940 MANHUACU";11;33;44
"313950 MANHUMIRIM";20;33;53
"313960 MANTENA";21;27;48
"313970 MARAVILHAS";2;6;8
"313980 MAR DE ESPANHA";5;14;19
