ITANHOMI;9;23;32
ITAOBIM;9;11;20
ITAPAGIPE;29;31;60
ITAPECERICA;4;13;17
ITAPEVA;11;16;27
ITATIAIUCU;4;22;26
ITAU DE MINAS;89;54;143
ITAUNA;73;92;165
ITUETA;5;1;6
ITUIUTABA;51;159;210
ITUMIRIM;2;-;2
ITURAMA;61;52;113
ITUTINGA;5;13;18
JABOTICATUBAS;3;23;26
JACINTO;1;5;6
JACUI;43;86;129
JACUTINGA;35;56;91
JAGUARACU;-;5;5
JAIBA;1;7;8
JAMPRUCA;3;3;6
JANAUBA;10;22;32
JANUARIA;20;92;112
JAPARAIBA;1;4;5
JAPONVAR;-;1;1
JENIPAPO DE MINAS;6;3;9
JEQUERI;4;28;32
JEQUITAI;-;4;4
JEQUITINHONHA;2;-;2
JESUANIA;-;1;1
JOAIMA;9;12;21
JOANESIA;3;7;10
JOAO MONLEVADE;19;68;87
JOAO PINHEIRO;15;40;55
JORDANIA;-;1;1
JOSE GONCALVES DE MINAS;1;5;6
JOSE RAYDAN;-;11;11
NOVA UNIAO;4;16;20
JUATUBA;7;14;21
JUIZ DE FORA;351;370;721
JURUAIA;7;10;17
JUVENILIA;1;1;2
LAGAMAR;12;23;35
LAGOA DA PRATA;32;29;61
LAGOA DOURADA;-;1;1
LAGOA FORMOSA;21;21;42
LAGOA GRANDE;1;4;5
LAGOA SANTA;6;15;21
LAMBARI;64;64;128
LARANJAL;2;5;7
LASSANCE;3;1;4
LAVRAS;35;41;76
LEANDRO FERREIRA;9;4;13
LEOPOLDINA;22;14;36
LIMA DUARTE;10;21;31
LIMEIRA DO OESTE;2;3;5
LONTRA;-;1;1
LUISBURGO;4;11;15
LUZ;11;30;41
MACHADO;87;104;191
MADRE DE DEUS DE MINAS;4;11;15
MANGA;3;10;13
MANHUACU;14;30;44
MANHUMIRIM;25;28;53
MANTENA;14;34;48
MARAVILHAS;3;5;8
MAR DE ESPANHA;9;10;19
MARIA DA FE;40;52;92
MARIANA;53;31;84
MARIPA DE MINAS;-;1;1
MARLIERIA;3;11;14
MARMELOPOLIS;8;28;36
MARTINHO CAMPOS;24;29;53
MATERLANDIA;1;4;5
MATEUS LEME;86;40;126
MATIAS BARBOSA;8;27;35
MATIAS CARDOSO;1;7;8
MATO VERDE;2;3;5
MATOZINHOS;-;7;7
MATUTINA;3;-;3
MEDEIROS;-;2;2
MEDINA;1;8;9
MENDES PIMENTEL;4;1;5
MERCES;3;19;22
MESQUITA;3;1;4
MINAS NOVAS;2;13;15
MINDURI;7;8;15
MIRABELA;3;6;9
MIRADOURO;-;6;6
MIRAI;6;19;25
MIRAVANIA;-;1;1
MOEDA;26;12;38
MOEMA;5;4;9
MONJOLOS;2;4;6
MONTE ALEGRE DE MINAS;16;19;35
MONTE AZUL;8;26;34
MONTE BELO;25;12;37
MONTE CARMELO;79;94;173
MONTE SANTO DE MINAS;39;57;96
MONTES CLAROS;194;300;494
MONTE SIAO;36;88;124
MONTEZUMA;1;-;1
MORADA NOVA DE MINAS;11;34;45
MORRO DO PILAR;-;1;1
MUNHOZ;15;11;26
MURIAE;26;65;91
MUTUM;1;4;5
MUZAMBINHO;10;19;29
NACIP RAYDAN;-;11;11
NANUQUE;13;20;33
NAQUE;6;23;29
NATERCIA;4;9;13
