FORMIGA;60;215;275
FORTALEZA DE MINAS;12;26;38
FORTUNA DE MINAS;5;7;12
FRANCISCO BADARO;2;12;14
FRANCISCO DUMONT;1;1;2
FRANCISCO SA;4;6;10
FREI INOCENCIO;3;15;18
FREI LAGONEGRO;-;1;1
FRONTEIRA;-;7;7
FRONTEIRA DOS VALES;4;4;8
FRUTA DE LEITE;-;4;4
FRUTAL;23;89;112
FUNILANDIA;-;3;3
GALILEIA;2;11;13
GAMELEIRAS;1;2;3
GOIANA;-;1;1
GONCALVES;8;25;33
GOUVEIA;1;8;9
GOVERNADOR VALADARES;177;805;982
GRAO MOGOL;-;5;5
GRUPIARA;4;12;16
GUANHAES;42;212;254
GUAPE;22;72;94
GUARACIAMA;2;9;11
GUARANESIA;13;62;75
GUARANI;6;18;24
GUARARA;1;2;3
GUARDA-MOR;3;11;14
GUAXUPE;52;170;222
GUIDOVAL;14;22;36
GUIMARANIA;1;6;7
GURINHATA;-;5;5
HELIODORA;5;26;31
IAPU;1;12;13
IBERTIOGA;3;18;21
IBIA;13;23;36
IBIRACI;7;24;31
IBIRITE;51;264;315
IBITIURA DE MINAS;6;32;38
IBITURUNA;1;1;2
IGARAPE;26;70;96
IGARATINGA;11;19;30
IGUATAMA;3;10;13
ILICINEA;5;35;40
IMBE DE MINAS;-;5;5
INCONFIDENTES;5;20;25
INDAIABIRA;1;14;15
INDIANOPOLIS;2;4;6
INHAPIM;17;81;98
INIMUTABA;2;11;13
IPABA;4;27;31
IPANEMA;7;34;41
IPATINGA;82;651;733
IPUIUNA;20;70;90
ITABIRA;54;170;224
ITABIRINHA;1;5;6
ITABIRITO;2;4;6
ITACARAMBI;4;15;19
ITAGUARA;6;17;23
ITAIPE;-;4;4
ITAJUBA;190;630;820
ITAMARANDIBA;6;25;31
ITAMARATI DE MINAS;7;49;56
ITAMBACURI;2;18;20
ITAMBE DO MATO DENTRO;-;1;1
ITAMOGI;12;45;57
ITAMONTE;3;15;18
ITANHANDU;20;74;94
ITANHOMI;7;25;32
ITAOBIM;4;16;20
ITAPAGIPE;20;40;60
ITAPECERICA;2;15;17
ITAPEVA;7;20;27
ITATIAIUCU;6;20;26
ITAU DE MINAS;32;111;143
ITAUNA;24;141;165
ITUETA;2;4;6
ITUIUTABA;34;176;210
ITUMIRIM;2;-;2
ITURAMA;24;89;113
ITUTINGA;5;13;18
JABOTICATUBAS;1;25;26
JACINTO;1;5;6
JACUI;27;102;129
JACUTINGA;18;73;91
JAGUARACU;1;4;5
JAIBA;2;6;8
JAMPRUCA;-;6;6
JANAUBA;2;30;32
JANUARIA;7;105;112
JAPARAIBA;3;2;5
JAPONVAR;-;1;1
JENIPAPO DE MINAS;1;8;9
JEQUERI;4;28;32
JEQUITAI;1;3;4
JEQUITINHONHA;1;1;2
JESUANIA;-;1;1
JOAIMA;5;16;21
JOANESIA;2;8;10
JOAO MONLEVADE;14;73;87
JOAO PINHEIRO;9;46;55
JORDANIA;-;1;1
JOSE GONCALVES DE MINAS;-;6;6
JOSE RAYDAN;-;11;11
NOVA UNIAO;4;16;20
JUATUBA;4;17;21
JUIZ DE FORA;153;568;721
JURUAIA;2;15;17
JUVENILIA;1;1;2
LAGAMAR;8;27;35
LAGOA DA PRATA;18;43;61
LAGOA DOURADA;1;-;1
LAGOA FORMOSA;9;33;42
LAGOA GRANDE;-;5;5
LAGOA SANTA;5;16;21
LAMBARI;25;103;128
LARANJAL;2;5;7
LASSANCE;1;3;4
LAVRAS;26;50;76
LEANDRO FERREIRA;1;12;13
LEOPOLDINA;9;27;36
LIMA DUARTE;14;17;31
LIMEIRA DO OESTE;2;3;5
LONTRA;-;1;1
LUISBURGO;4;11;15
LUZ;14;27;41
MACHADO;32;159;191
MADRE DE DEUS DE MINAS;3;12;15
MANGA;2;11;13
MANHUACU;7;37;44
