Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"313980 MAR DE ESPANHA";2;17;19
"313990 MARIA DA FE";1;91;92
"314000 MARIANA";-;84;84
"314020 MARIPA DE MINAS";-;1;1
"314030 MARLIERIA";-;14;14
"314040 MARMELOPOLIS";2;34;36
"314050 MARTINHO CAMPOS";2;51;53
"314060 MATERLANDIA";-;5;5
"314070 MATEUS LEME";2;124;126
"314080 MATIAS BARBOSA";1;34;35
"314085 MATIAS CARDOSO";-;8;8
"314100 MATO VERDE";-;5;5
"314110 MATOZINHOS";-;7;7
"314120 MATUTINA";-;3;3
"314130 MEDEIROS";-;2;2
"314140 MEDINA";-;9;9
"314150 MENDES PIMENTEL";-;5;5
"314160 MERCES";2;20;22
"314170 MESQUITA";-;4;4
"314180 MINAS NOVAS";-;15;15
"314190 MINDURI";-;15;15
"314200 MIRABELA";-;9;9
"314210 MIRADOURO";1;5;6
"314220 MIRAI";-;25;25
"314225 MIRAVANIA";-;1;1
"314230 MOEDA";1;37;38
"314240 MOEMA";1;8;9
"314250 MONJOLOS";-;6;6
"314280 MONTE ALEGRE DE MINAS";-;35;35
"314290 MONTE AZUL";-;34;34
"314300 MONTE BELO";-;37;37
"314310 MONTE CARMELO";3;170;173
"314320 MONTE SANTO DE MINAS";2;94;96
"314330 MONTES CLAROS";8;486;494
"314340 MONTE SIAO";7;117;124
"314345 MONTEZUMA";-;1;1
"314350 MORADA NOVA DE MINAS";-;45;45
"314370 MORRO DO PILAR";-;1;1
"314380 MUNHOZ";-;26;26
"314390 MURIAE";2;89;91
"314400 MUTUM";1;4;5
"314410 MUZAMBINHO";-;29;29
"314420 NACIP RAYDAN";1;10;11
"314430 NANUQUE";4;29;33
"314435 NAQUE";-;29;29
"314440 NATERCIA";-;13;13
"314450 NAZARENO";-;24;24
"314460 NEPOMUCENO";-;70;70
"314465 NINHEIRA";-;1;1
