Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sedentarismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"312540 FELICIO DOS SANTOS";1;1;2
"312550 SAO GONCALO DO RIO PRETO";1;3;4
"312560 FELISBURGO";1;2;3
"312570 FELIXLANDIA";-;2;2
"312580 FERNANDES TOURINHO";3;5;8
"312595 FERVEDOURO";2;13;15
"312610 FORMIGA";79;196;275
"312630 FORTALEZA DE MINAS";19;19;38
"312640 FORTUNA DE MINAS";9;3;12
"312650 FRANCISCO BADARO";9;5;14
"312660 FRANCISCO DUMONT";-;2;2
"312670 FRANCISCO SA";5;5;10
"312690 FREI INOCENCIO";5;13;18
"312695 FREI LAGONEGRO";-;1;1
"312700 FRONTEIRA";2;5;7
"312705 FRONTEIRA DOS VALES";1;7;8
"312707 FRUTA DE LEITE";-;4;4
"312710 FRUTAL";48;64;112
"312720 FUNILANDIA";-;3;3
"312730 GALILEIA";7;6;13
"312733 GAMELEIRAS";1;2;3
"312738 GOIANA";-;1;1
"312740 GONCALVES";8;25;33
"312760 GOUVEIA";6;3;9
"312770 GOVERNADOR VALADARES";362;620;982
"312780 GRAO MOGOL";1;4;5
"312790 GRUPIARA";6;10;16
"312800 GUANHAES";58;196;254
"312810 GUAPE";27;67;94
"312825 GUARACIAMA";2;9;11
"312830 GUARANESIA";23;52;75
"312840 GUARANI";6;18;24
"312850 GUARARA";2;1;3
"312860 GUARDA-MOR";7;7;14
"312870 GUAXUPE";98;124;222
"312880 GUIDOVAL";11;25;36
"312890 GUIMARANIA";3;4;7
"312910 GURINHATA";5;-;5
"312920 HELIODORA";10;21;31
"312930 IAPU";3;10;13
"312940 IBERTIOGA";18;3;21
"312950 IBIA";12;24;36
"312970 IBIRACI";18;13;31
"312980 IBIRITE";118;197;315
"312990 IBITIURA DE MINAS";16;22;38
"313000 IBITURUNA";2;-;2
"313010 IGARAPE";46;50;96
"313020 IGARATINGA";12;18;30
"313030 IGUATAMA";4;9;13
"313050 ILICINEA";20;20;40
"313055 IMBE DE MINAS";-;5;5
"313060 INCONFIDENTES";14;11;25
"313065 INDAIABIRA";1;14;15
"313070 INDIANOPOLIS";1;5;6
"313090 INHAPIM";32;66;98
"313110 INIMUTABA";6;7;13
"313115 IPABA";20;11;31
"313120 IPANEMA";16;25;41
"313130 IPATINGA";236;497;733
"313150 IPUIUNA";38;52;90
"313170 ITABIRA";118;106;224
"313180 ITABIRINHA";3;3;6
"313190 ITABIRITO";2;4;6
"313210 ITACARAMBI";4;15;19
"313220 ITAGUARA";4;19;23
"313230 ITAIPE";2;2;4
"313240 ITAJUBA";377;443;820
"313250 ITAMARANDIBA";10;21;31
"313260 ITAMARATI DE MINAS";28;28;56
"313270 ITAMBACURI";4;16;20
"313280 ITAMBE DO MATO DENTRO";-;1;1
"313290 ITAMOGI";19;38;57
"313300 ITAMONTE";7;11;18
"313310 ITANHANDU";40;54;94
"313320 ITANHOMI";9;23;32
"313330 ITAOBIM";9;11;20
"313340 ITAPAGIPE";29;31;60
"313350 ITAPECERICA";4;13;17
"313360 ITAPEVA";11;16;27
"313370 ITATIAIUCU";4;22;26
"313375 ITAU DE MINAS";89;54;143
"313380 ITAUNA";73;92;165
"313410 ITUETA";5;1;6
"313420 ITUIUTABA";51;159;210
"313430 ITUMIRIM";2;-;2
"313440 ITURAMA";61;52;113
"313450 ITUTINGA";5;13;18
"313460 JABOTICATUBAS";3;23;26
"313470 JACINTO";1;5;6
"313480 JACUI";43;86;129
"313490 JACUTINGA";35;56;91
"313500 JAGUARACU";-;5;5
"313505 JAIBA";1;7;8
"313507 JAMPRUCA";3;3;6
"313510 JANAUBA";10;22;32
"313520 JANUARIA";20;92;112
"313530 JAPARAIBA";1;4;5
"313535 JAPONVAR";-;1;1
"313545 JENIPAPO DE MINAS";6;3;9
"313550 JEQUERI";4;28;32
