Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Tabagismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"312695 FREI LAGONEGRO";-;1;1
"312700 FRONTEIRA";-;7;7
"312705 FRONTEIRA DOS VALES";4;4;8
"312707 FRUTA DE LEITE";-;4;4
"312710 FRUTAL";23;89;112
"312720 FUNILANDIA";-;3;3
"312730 GALILEIA";2;11;13
"312733 GAMELEIRAS";1;2;3
"312738 GOIANA";-;1;1
"312740 GONCALVES";8;25;33
"312760 GOUVEIA";1;8;9
"312770 GOVERNADOR VALADARES";177;805;982
"312780 GRAO MOGOL";-;5;5
"312790 GRUPIARA";4;12;16
"312800 GUANHAES";42;212;254
"312810 GUAPE";22;72;94
"312825 GUARACIAMA";2;9;11
"312830 GUARANESIA";13;62;75
"312840 GUARANI";6;18;24
"312850 GUARARA";1;2;3
"312860 GUARDA-MOR";3;11;14
"312870 GUAXUPE";52;170;222
"312880 GUIDOVAL";14;22;36
"312890 GUIMARANIA";1;6;7
"312910 GURINHATA";-;5;5
"312920 HELIODORA";5;26;31
"312930 IAPU";1;12;13
"312940 IBERTIOGA";3;18;21
"312950 IBIA";13;23;36
"312970 IBIRACI";7;24;31
"312980 IBIRITE";51;264;315
"312990 IBITIURA DE MINAS";6;32;38
"313000 IBITURUNA";1;1;2
"313010 IGARAPE";26;70;96
"313020 IGARATINGA";11;19;30
"313030 IGUATAMA";3;10;13
"313050 ILICINEA";5;35;40
"313055 IMBE DE MINAS";-;5;5
"313060 INCONFIDENTES";5;20;25
"313065 INDAIABIRA";1;14;15
"313070 INDIANOPOLIS";2;4;6
"313090 INHAPIM";17;81;98
"313110 INIMUTABA";2;11;13
"313115 IPABA";4;27;31
"313120 IPANEMA";7;34;41
"313130 IPATINGA";82;651;733
"313150 IPUIUNA";20;70;90
"313170 ITABIRA";54;170;224
"313180 ITABIRINHA";1;5;6
"313190 ITABIRITO";2;4;6
"313210 ITACARAMBI";4;15;19
"313220 ITAGUARA";6;17;23
"313230 ITAIPE";-;4;4
"313240 ITAJUBA";190;630;820
"313250 ITAMARANDIBA";6;25;31
"313260 ITAMARATI DE MINAS";7;49;56
"313270 ITAMBACURI";2;18;20
"313280 ITAMBE DO MATO DENTRO";-;1;1
"313290 ITAMOGI";12;45;57
"313300 ITAMONTE";3;15;18
"313310 ITANHANDU";20;74;94
"313320 ITANHOMI";7;25;32
"313330 ITAOBIM";4;16;20
"313340 ITAPAGIPE";20;40;60
"313350 ITAPECERICA";2;15;17
"313360 ITAPEVA";7;20;27
"313370 ITATIAIUCU";6;20;26
"313375 ITAU DE MINAS";32;111;143
"313380 ITAUNA";24;141;165
"313410 ITUETA";2;4;6
"313420 ITUIUTABA";34;176;210
"313430 ITUMIRIM";2;-;2
"313440 ITURAMA";24;89;113
"313450 ITUTINGA";5;13;18
"313460 JABOTICATUBAS";1;25;26
"313470 JACINTO";1;5;6
"313480 JACUI";27;102;129
"313490 JACUTINGA";18;73;91
"313500 JAGUARACU";1;4;5
"313505 JAIBA";2;6;8
"313507 JAMPRUCA";-;6;6
"313510 JANAUBA";2;30;32
"313520 JANUARIA";7;105;112
"313530 JAPARAIBA";3;2;5
"313535 JAPONVAR";-;1;1
"313545 JENIPAPO DE MINAS";1;8;9
"313550 JEQUERI";4;28;32
"313560 JEQUITAI";1;3;4
"313580 JEQUITINHONHA";1;1;2
"313590 JESUANIA";-;1;1
"313600 JOAIMA";5;16;21
"313610 JOANESIA";2;8;10
"313620 JOAO MONLEVADE";14;73;87
"313630 JOAO PINHEIRO";9;46;55
"313650 JORDANIA";-;1;1
"313652 JOSE GONCALVES DE MINAS";-;6;6
"313655 JOSE RAYDAN";-;11;11
"313660 NOVA UNIAO";4;16;20
"313665 JUATUBA";4;17;21
"313670 JUIZ DE FORA";153;568;721
"313690 JURUAIA";2;15;17
"313695 JUVENILIA";1;1;2
"313710 LAGAMAR";8;27;35
"313720 LAGOA DA PRATA";18;43;61
"313740 LAGOA DOURADA";1;-;1
"313750 LAGOA FORMOSA";9;33;42
"313753 LAGOA GRANDE";-;5;5
"313760 LAGOA SANTA";5;16;21
"313780 LAMBARI";25;103;128
"313800 LARANJAL";2;5;7
"313810 LASSANCE";1;3;4
"313820 LAVRAS";26;50;76
"313830 LEANDRO FERREIRA";1;12;13
"313840 LEOPOLDINA";9;27;36
"313860 LIMA DUARTE";14;17;31
"313862 LIMEIRA DO OESTE";2;3;5
"313865 LONTRA";-;1;1
"313867 LUISBURGO";4;11;15
"313880 LUZ";14;27;41
"313900 MACHADO";32;159;191
"313910 MADRE DE DEUS DE MINAS";3;12;15
"313930 MANGA";2;11;13
"313940 MANHUACU";7;37;44
"313950 MANHUMIRIM";9;44;53
"313960 MANTENA";7;41;48
"313970 MARAVILHAS";-;8;8
"313980 MAR DE ESPANHA";-;19;19
"313990 MARIA DA FE";28;64;92
"314000 MARIANA";10;74;84
"314020 MARIPA DE MINAS";-;1;1
"314030 MARLIERIA";3;11;14
"314040 MARMELOPOLIS";8;28;36
"314050 MARTINHO CAMPOS";6;47;53
"314060 MATERLANDIA";1;4;5
